Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Allegheny Center,1,1389,193,394,120,48,29,0,10,46,40,0,10,0,10,33,43,0,10,27,22,0,10,2,5,6,6,10,10,0,10,21,32,150,60,51,35,995,135
Allegheny West,2,343,96,61,44,0,10,0,10,16,28,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,12,0,10,9,12,0,10,2,4,25,22,282,74
Allentown,3,2520.0,449.503058944,965.0,312.800255754,19.0,22.825424421,23.0,28.7228132327,120.0,103.038827633,55.0,55.0,96.0,85.375640554,57.0,44.9221548904,60.0,53.1507290636,36.0,32.9545141066,44.0,38.5227205685,53.0,51.9711458408,20.0,24.1867732449,61.0,51.3127664427,41.0,53.8237865631,81.0,72.7186358508,125.0,87.1206060585,74.0,101.469207152,1555.0,267.807766877
Arlington,4,1823.0,342.3024978,427.0,127.72235513,7.0,17.9164728671,6.0,17.9164728671,5.0,15.779733838,24.0,19.5448202857,36.0,35.9444015113,9.0,15.3622914957,19.0,19.7484176581,18.0,19.1049731745,8.0,17.9164728672,31.0,35.6089876295,40.0,28.8617393793,12.0,16.8819430162,37.0,27.0,17.0,27.8567765544,142.0,69.2314957227,16.0,18.4932420089,1396.0,267.159128611
Arlington Heights,5,213,115,40,49,28,49,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,14,0,10,173,87
Banksville,6,3787.0,569.215249269,402.0,186.18002041,28.0,37.7491721764,0.0,20.0,23.0,39.0512483796,22.0,39.0512483796,0.0,20.0,53.0,66.302337817,54.0,66.302337817,17.0,32.9241552663,30.0,38.8973006775,0.0,20.0,0.0,20.0,13.0,28.0,15.0,31.2409987036,25.0,33.3766385366,23.0,32.9241552663,99.0,93.6162379077,3385.0,509.464424665
Bedford Dwellings,7,1251,149,337,121,28,34,57,43,28,41,0,10,22,23,0,10,21,19,13,20,9,14,43,29,55,34,3,5,22,20,12,19,24,20,0,10,914,102
Beechview,8,7770.0,685.333495462,1783.0,313.268255654,145.0,74.3370701603,47.0,44.8887513749,51.0,41.7133072293,211.0,108.08792717,26.0,39.0128184062,62.0,55.0090901579,49.0,54.2770669805,53.0,49.0713765855,74.0,60.811183182,67.0,54.8178802946,45.0,44.6542271235,78.0,57.0350769265,26.0,36.9594372251,80.0,58.4978632089,559.0,142.112631388,210.0,83.7317144218,5987.0,543.24395993
Beltzhoover,9,1609.0,310.282129683,342.0,137.640836964,19.0,24.9799919936,0.0,20.0,0.0,20.0,0.0,20.0,9.0,17.2626765016,21.0,36.3868107973,13.0,26.4575131106,12.0,25.7099202644,0.0,20.0,24.0,38.1575680566,0.0,20.0,34.0,41.7612260356,40.0,49.2036584006,24.0,37.2692903071,140.0,76.6420250254,6.0,20.0,1267.0,242.15903865
Bloomfield,10,8498.0,469.304805004,2185.0,264.384190149,39.0,32.9089653437,30.0,39.3064880141,41.0,42.3556371692,18.0,36.9459064039,18.0,34.5543050863,35.0,37.3496987939,3.0,30.5941170816,28.0,40.1746188533,20.0,32.5269119346,118.0,65.3069674691,10.0,29.9666481275,34.0,45.3541618818,27.0,38.9615194775,88.0,63.3403504884,693.0,166.02710622,983.0,181.526857517,6313.0,385.16489975
Bluff,11,6289.0,395.562890069,3625.0,295.780323889,22.0,22.9128784748,18.0,21.6564078277,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,18.0,28.0000000001,0.0,20.0,30.0,39.306488014,3376.0,300.101649445,161.0,66.0302960769,2664.0,248.909622152
Bon Air,12,874,169,235,114,0,10,14,22,14,21,0,10,14,22,7,14,14,20,35,55,26,21,0,10,13,19,0,10,30,33,49,49,14,27,5,8,639,121
Brighton Heights,13,7118.0,532.241486545,1511.0,305.906848567,157.0,99.5590277172,102.0,50.3388517946,71.0,47.7283982551,75.0,51.3517283058,22.0,35.6791255498,78.0,55.3895296965,109.0,62.5939294181,80.0,57.4543296889,56.0,34.9141805002,60.0,55.9016994375,31.0,33.5708206632,85.0,51.526692112,131.0,87.800911157,56.0,38.1968585095,257.0,92.2279784013,141.0,72.6291952317,5607.0,393.190793381
Brookline,14,12777.0,912.258187138,2824.0,447.619257852,219.0,97.7343337829,125.0,79.2842985718,131.0,97.8979060041,179.0,98.9444288478,174.0,94.5780101292,128.0,86.8158971618,141.0,81.8840643838,109.0,74.6190324248,133.0,104.168133323,174.0,98.1936861514,136.0,71.2039324756,168.0,92.2062904579,122.0,72.0138875497,116.0,74.188947964,556.0,187.699227489,213.0,88.8425573698,9953.0,668.745841109
California-Kirkbride,15,739,130,152,55,8,7,31,29,5,7,16,19,3,5,8,9,0,10,9,12,9,9,1,3,6,8,2,3,1,2,13,12,36,36,4,5,587,100
Carrick,16,9825.0,801.286465629,2274.0,431.753401841,111.0,61.9112267686,68.0,71.4282857136,185.0,89.7552226894,182.0,91.798692801,124.0,74.7328575662,104.0,72.3878442835,144.0,63.2771680783,95.0,62.7056616264,143.0,66.0,181.0,81.2219182241,58.0,49.5378643061,141.0,80.8888125763,74.0,48.1352261862,71.0,51.6817182376,419.0,134.721935853,174.0,100.955435713,7551.0,526.866206926
Central Business District,17,4037.0,454.405105605,1685.0,340.578918901,21.0,30.8058436015,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,12.0,28.7054001889,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,36.0,36.8510515454,1475.0,333.024023157,141.0,65.9696900099,2352.0,315.483755525
Central Lawrenceville,18,4653.0,371.177854943,594.0,150.103297764,27.0,24.6170672503,36.0,35.5668384875,9.0,26.9258240357,46.0,39.8748040747,7.0,25.3771550809,3.0,23.1516738056,20.0,26.9258240357,7.0,24.9198715887,26.0,36.4417343166,30.0,24.8394846967,22.0,25.8069758012,4.0,23.1516738056,23.0,41.5331193147,12.0,25.1594912508,162.0,72.2979944396,160.0,65.4751861394,4059.0,332.034636747
Central Northside,19,2828.0,333.613548886,542.0,197.405673677,22.0,22.5831795813,23.0,32.9545141066,27.0,30.4795013082,21.0,29.63106478,21.0,17.9164728671,21.0,29.5972971739,31.0,27.8208554865,31.0,29.2745623366,99.0,53.1507290637,9.0,14.5945195193,31.0,33.9558536927,13.0,26.1533936612,55.0,44.192759588,25.0,33.1662479035,29.0,20.4450483003,84.0,63.7338214765,2286.0,249.303028462
Central Oakland,20,5822.0,659.416408653,4656.0,653.346003278,31.0,13.416407865,6.0,15.779733838,6.0,19.2093727123,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,4206.0,613.299274417,407.0,166.330995307,1166.0,239.177758163
Chartiers City,21,560,172,118,91,27,40,0,10,13,19,13,19,24,36,13,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,17,14,16,442,120
Chateau,22,3,3,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,3
Crafton Heights,23,3791.0,363.851618109,996.0,211.768741792,70.0,51.0392006207,67.0,44.2944691807,91.0,54.6717477313,87.0,52.7446679769,64.0,41.8330013268,36.0,34.8998567332,56.0,34.4383507155,57.0,48.342527861,88.0,57.636793804,47.0,34.3656805549,37.0,37.8549864615,15.0,21.6564078277,19.0,21.0237960417,77.0,56.8682688324,167.0,78.2432105681,18.0,16.5227116419,2795.0,246.286418627
Crawford-Roberts,24,2155.0,335.828825445,555.0,205.548047911,50.0,47.2969343615,28.0,36.4005494464,24.0,37.3630833845,0.0,14.1421356237,42.0,42.9418211072,24.0,31.0161248385,34.0,31.6227766017,18.0,23.2594066992,7.0,14.8660687473,22.0,31.6227766017,21.0,28.7923600978,32.0,43.5660418216,32.0,44.1474801093,0.0,14.1421356237,194.0,115.247559627,27.0,36.6878726557,1600.0,210.069036271
Duquesne Heights,25,2387.0,319.812445036,395.0,106.775465347,28.0,45.1220566907,43.0,32.5729949498,0.0,14.1421356237,14.0,17.2046505341,11.0,19.7230829233,0.0,14.1421356237,30.0,19.4164878389,9.0,18.0277563773,30.0,27.6586333719,13.0,18.8679622641,0.0,14.1421356237,0.0,14.1421356237,3.0,12.2065556157,36.0,26.4196896272,81.0,47.4341649025,97.0,77.2010362625,1992.0,260.342082653
East Allegheny,26,2095.0,284.401125174,312.0,161.00310556,9.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,18.0,19.7989898732,8.0,17.2046505341,43.0,51.9711458407,11.0,20.591260282,0.0,14.1421356237,0.0,14.1421356237,23.0,24.7588368063,0.0,14.1421356237,13.0,20.591260282,10.0,18.8679622641,21.0,25.079872408,78.0,76.5375724726,78.0,102.591422643,1783.0,233.383804065
East Carnegie,27,592,122,133,52,0,10,0,10,11,12,6,9,0,10,0,10,0,10,0,10,0,10,24,26,6,9,19,26,0,10,0,10,42,26,25,31,459,101
East Hills,28,2716.0,411.42921627,719.0,265.320560832,50.0,55.8211429478,98.0,74.0675367486,31.0,38.6781592116,26.0,43.3704968844,25.0,29.478805946,12.0,19.8997487421,33.0,35.902646142,55.0,54.8543526076,17.0,31.3687742827,36.0,36.6606055597,26.0,28.7228132327,18.0,23.6854385646,53.0,45.1331363856,57.0,45.8257569495,167.0,92.622891339,15.0,20.9045449604,1997.0,311.375978521
East Liberty,29,5282.0,569.618293245,1420.0,336.110101008,85.0,65.1459898997,43.0,53.3853912602,44.0,49.5580467734,30.0,41.7851648316,65.0,67.9411510058,22.0,32.403703492,8.0,29.9332590942,29.0,35.8050275799,36.0,36.6060104355,108.0,79.8498591107,76.0,71.4492827116,69.0,52.4213696883,77.0,67.8601503092,133.0,121.573023323,288.0,113.877126764,307.0,103.903801663,3862.0,378.174562868
Elliott,30,2468.0,406.145294199,860.0,242.499484536,60.0,55.6506963119,38.0,50.049975025,46.0,46.021733996,26.0,33.1662479036,56.0,42.4264068712,35.0,36.5650105975,37.0,31.192947921,35.0,33.3016516107,98.0,56.709787515,20.0,34.9857113691,122.0,52.3832034148,20.0,34.0734500748,67.0,57.1839138219,64.0,44.5196585791,99.0,49.7694685525,37.0,29.5803989155,1608.0,231.086563867
Esplen,31,309,118,63,47,15,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,9,0,10,0,10,5,9,0,10,37,25,0,10,246,93
Fairywood,32,1121,221,237,123,13,15,0,10,0,10,0,10,0,10,9,13,8,13,0,10,0,10,9,14,0,10,0,10,18,30,0,10,101,62,79,77,884,210
Fineview,33,1198.0,279.866039383,328.0,127.78106276,11.0,15.6204993518,20.0,27.8567765544,28.0,32.5729949498,21.0,22.8473193176,0.0,14.1421356237,0.0,14.1421356237,15.0,23.2594066992,23.0,32.5729949498,6.0,13.4536240471,6.0,13.4536240471,28.0,42.201895692,9.0,18.0277563773,16.0,16.6433169771,56.0,52.9528091795,74.0,51.0,15.0,23.2594066992,870.0,190.205152401
