id,name,type,park,location,surface_material,grandstand,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1592343416,Allegheny Commons Basketball Court 1,Basketball (Full),Allegheny Commons,,,0,f,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45444322,-80.00810437
1365248699,Allegheny Commons Park Tennis Court 1,Tennis,Allegheny Commons,,Asphalt,0,f,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45239978,-80.01253059
1757180821,Allegheny Commons Park Tennis Court 2,Tennis,Allegheny Commons,,Asphalt,0,f,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.4522382,-80.01214999
744303307,Allegheny Commons Park Tennis Court 3,Tennis,Allegheny Commons,,Asphalt,0,f,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45207492,-80.01176729
1157777481,Alton Park Basketball Court 1,Basketball (Half),Alton Park,,Asphalt,0,f,Beechview,4,19,42003191600,5,19,6,4-28,40.41415163,-80.02230466
299909706,Alton Park Basketball Court 2,Basketball (Full),Alton Park,,Asphalt,0,f,Beechview,4,19,42003191600,5,19,6,4-28,40.41415457,-80.02208836
912994212,Ammon Park Basketball Court 1,Basketball (Full),Ammon Park,,Asphalt,0,f,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44933129,-79.97747322
1342647628,Ammon Park Basketball Court 2,Basketball (Full),Ammon Park,,Asphalt,0,f,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44918388,-79.97737145
470473315,Arlington Park Basketball Court 1,Basketball (Full),Arlington Park,,Asphalt,0,f,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41799025,-79.97505315
229834077,Armstrong Park Basketball Court 1,Basketball (Full),Armstrong Park,,Asphalt,0,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42792481,-79.98601078
155976019,Armstrong Park Sports Court 1,General Sports,Armstrong Park,,Asphalt,0,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42789485,-79.98619761
1120982972,Arsenal Basketball Court 1,Basketball (Full),Arsenal Park,,Asphalt,0,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46692811,-79.96225281
451145223,Arsenal Hockey Court 1,Street Hockey,Arsenal Park,,Asphalt,0,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46675493,-79.96200724
644689747,Arsenal Park Tennis Court 1,Tennis,Arsenal Park,,Asphalt,0,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46611498,-79.96059793
1164208770,Arsenal Park Tennis Court 2,Tennis,Arsenal Park,,Asphalt,0,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46600851,-79.96073891
1083188111,Arsenal Park Tennis Court 3,Tennis,Arsenal Park,,Asphalt,0,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46590187,-79.96088191
1955539329,Arsenal Park Tennis Court 4,Tennis,Arsenal Park,,Asphalt,0,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46579819,-79.96103473
1732101805,August Wilson Park Basketball Court 1,Basketball (Half),August Wilson Park,,Asphalt,0,f,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.4466766,-79.9856669
647954390,Banksville Park Basketball Court 1,Basketball (Full),Banksville Park,,Asphalt,0,f,Banksville,2,20,42003202300,5,20,6,4-9,40.41484022,-80.03869487
993736796,Banksville Park Dek Hockey Court 1,Dek Hockey,Banksville Park,,Composite,0,f,Banksville,2,20,42003202300,5,20,6,4-9,40.41439549,-80.03905051
1929653833,Banksville Park Tennis Court 1,Tennis,Banksville Park,,Asphalt,0,f,Banksville,2,20,42003202300,5,20,6,4-9,40.41461932,-80.03874158
483382058,Bon Air Park Hockey Court 1,Hockey,Bon Air Park,,Asphalt,0,f,Bon Air,4,18,42003562400,5,18,3,4-7,40.40740392,-79.99993526
53612772,Boundary Street Park Hockey Court 1,Hockey,Boundary Street Park,,Asphalt,0,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43862751,-79.95046782
1919204105,Brighton Heights Park Basketball Court 1,Basketball (Full),Brighton Heights Park,,Asphalt,0,f,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48749665,-80.03177314
431429451,Brookline Memorial Park Basketball Court 1,Basketball (Full),Brookline Memorial Park,,Asphalt,0,f,Brookline,4,32,42003320600,5,32,6,4-26,40.39111591,-80.00805266
