id	name	type	maintenance_responsibility	park	street	image	neighborhood	council_district	ward	tract	public_works_division	pli_division	police_zone	fire_zone	latitude	longitude
731501774	Able Long Playground		Parks - Western	Able Long Park	COAST AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Able_Long_Playground.jpg	Beechview	4	19	42003192000	5	19	6	4-28	40.40836491	-80.02844525
1461276747	Albert Graham Playground		Parks - Schenley	Albert Turk Graham Park	FORESIDE PL	https://tools.wprdc.org/images/pittsburgh/playgrounds/Albert_Graham_Playground.jpg	Crawford-Roberts	6	3	42003030500	3	3	2	2-1	40.44051933	-79.98413678
1860709784	Alpine Playground		Parks - Northern	Alpine Gardens Park	ALPINE AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Alpine_Playground.jpg	Central Northside	6	25	42003250300	1	25	1	1-21	40.45770684	-80.01295165
1770671485	Alton Playground		Parks - Western	Alton Park	ANDICK WAY	https://tools.wprdc.org/images/pittsburgh/playgrounds/Alton_Playground.jpg	Beechview	4	19	42003191600	5	19	6	4-28	40.41413723	-80.02160511
18942817	Ammon Playground		Parks - Schenley	Ammon Park	MEMORY LN	https://tools.wprdc.org/images/pittsburgh/playgrounds/Ammon_Playground.jpg	Bedford Dwellings	6	5	42003050900	3	5	2	2-5	40.4490366	-79.97806407
230731204	Arlington Playground		Parks - Southern	Arlington Park	FERNLEAF ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Arlington_Playground.jpg	South Side Slopes	3	16	42003160800	3	16	3	4-22	40.41809429	-79.97542928
420573029	Armstrong Playground		Parks - Southern	Armstrong Park	S 12TH ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Armstrong_Playground.jpg	South Side Flats	3	17	42003170200	3	17	3	4-24	40.42816521	-79.9861211
113170092	Arsenal Playground		Parks - Northeast	Arsenal Park	40TH ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Arsenal_Playground.jpg	Lower Lawrenceville	7	6	42003060300	2	6	2	3-3	40.46672126	-79.96152
2089697067	August WIlson Playground		Parks - Schenley	August Wilson Park	CLIFF ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/August_WIlson_Playground.jpg	Crawford-Roberts	6	3	42003030500	3	3	2	2-1	40.44650987	-79.98596807
2124405123	Banksville Playground		Parks - Western	Banksville Park	CRANE AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Banksville_Playground.jpg	Banksville	2	20	42003202300	5	20	6	4-9	40.41466578	-80.03934214
202656658	Baxter Playground		Parks - Eastern	Baxter Park	FRANKSTOWN AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Baxter_Playground.jpg	Homewood North	9	13	42003130200	2	13	5	3-17	40.45614142	-79.88950089
966305264	Bon Air Playground		Parks - Southern	Bon Air Park	CALLE AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Bon_Air_Playground.jpg	Bon Air	4	18	42003562400	5	18	3	4-7	40.40759014	-80.00009508
1687972299	Boundary Street Playground		Parks - Schenley	Boundary Street Park	BOUNDARY ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Boundary_Street_Playground.jpg	Central Oakland	3	4	42003040600	3	4	4	2-11	40.43852022	-79.95060907
966240511	Brighton Heights Playground		Parks - Northern	Brighton Heights Park	BRIGHTON WOODS RD	https://tools.wprdc.org/images/pittsburgh/playgrounds/Brighton_Heights_Playground.jpg	Brighton Heights	1	27	42003270800	1	27	1	1-14	40.48666869	-80.0318561
2126090864	Brookline Playground		Parks - Southern	Brookline Memorial Park	OAKRIDGE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Brookline_Playground.jpg	Brookline	4	32	42003320600	5	32	6	4-26	40.39150961	-80.00830057
580160987	Bud Hammer Playground		Parks - Schenley	Bud Hammer Park	BIGELOW ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Bud_Hammer_Playground.jpg	Hazelwood	5	15	42003562900	3	15	4	2-12	40.42163297	-79.94716238
1701961450	Burgwin Playground		Parks - Schenley	Burgwin Park	JOHNSTON AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Burgwin_Playground.jpg	Hazelwood	5	15	42003562300	3	15	4	2-13	40.40493702	-79.93678596
181350957	Camp David Lawrence Playground		Parks - Schenley	Schenley Park	OVERLOOK DR	https://tools.wprdc.org/images/pittsburgh/playgrounds/Camp_David_Lawrence_Playground.jpg	Squirrel Hill South	5	14	42003980500	3	14	4	2-8	40.43308871	-79.94572361
1547988913	Catalono Playground		Parks - Northern	Catalano Park	SPRING GARDEN AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Catalono_Playground.jpg	Spring Garden	1	24	42003241200	1	24	1	1-5	40.4602189	-79.99194624
1563114682	Chadwick Playground		Parks - Eastern	Chadwick Park	OBERLIN ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Chadwick_Playground.jpg	Lincoln-Lemington-Belmar	9	12	42003561900	2	12	5	3-18	40.46503501	-79.8903992
130973977	Chartiers Playground		Parks - Western	Chartiers Park	CHARTIERS AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Chartiers_Playground.jpg	Windgap	2	28	42003563000	5	28	6	1-16	40.45702811	-80.07501121
